ID,Name,Time,Predecessors
1,获取支架,29,
2,阅读框架规格,3,1
3,组装右侧框架,5,2
4,松开右侧框架组装,22,3
5,安装悬挂,6,1
6,阅读弹簧规格,14,5
7,放置弹簧绝缘子,2,1;6
8,组装左侧框架,5,6
9,松开左侧框架组装,22,8
10,松开右侧LCA组装,30,1
11,固定右侧框架安装,23,4
12,松开左侧LCA组装,30,1
13,固定左侧框架安装,23,9
14,放置右侧弹簧,2,7;10
15,准备右侧LCA安全固定,19,14
16,固定右侧LCA,29,15
17,获取保持器,2,
18,放置左侧弹簧,2,7;12
19,准备左侧LCA安全固定,19,18
20,固定左侧LCA,29,17;19
21,反转横梁,6,16;20
22,放置前制动管道,10,21
23,松开前制动管道组装,16,22
24,固定前制动管道,23,23
25,松开右侧保险杠组装,5,21
26,固定右侧保险杠,5,25
27,准备配对,5,24;26
28,将横梁与发动机连接,40,11;13;27
29,拆卸右侧球节盖,2,28
30,将左侧横梁与发动机连接,5,21
31,固定左侧保险杠,5,30
32,安装热屏障,1,21;31
33,将横梁与发动机配对,40,11;13;27;32
34,移除清单,2,27
35,拆卸左侧球节盖,2,33
